"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","They ended up being only 6 minutes late. @Delta",FALSE,0,"RyanRebholz",2016-07-05 08:51:02,FALSE,"750238442085183489","750250622503440385","380635574","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RyanRebholz",0,FALSE,FALSE,NA,NA
"2","@Delta bruh. https://t.co/A8ySuTrADs",FALSE,0,"MasaraChannele",2016-07-05 08:43:05,FALSE,"750248410452664320","750248625196797952","471729948","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MasaraChannele",0,FALSE,FALSE,NA,NA
"3","So there's just no one working at the @Delta check in? It's a ghost town. And people have flights to catch smh",FALSE,0,NA,2016-07-05 08:42:14,FALSE,NA,"750248410452664320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MasaraChannele",0,FALSE,FALSE,NA,NA
"4","Looks like @united is going to end up with business to get our daughter home they beat @SouthwestAir @Delta and @AmeicanAir by $200.00",FALSE,0,NA,2016-07-05 08:42:12,FALSE,NA,"750248402152148993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mamabreezi",0,FALSE,FALSE,NA,NA
"5","@nathanielbarney  Awesome! Nathaniel, thanks for sharing. We're happy to have you aboard. Thanks for choosing @Delta!  *CK",FALSE,0,"nathanielbarney",2016-07-05 08:40:34,FALSE,"750246996729094144","750247992259674112","399184280","<a href=""http://www.sparkcentral.com"" rel=""nofollow"">Sparkcentral.com</a>","Delta",0,FALSE,FALSE,NA,NA
"6","Catch you later UK. Time to settle down on my @Delta flight and watch a bit of @deadpoolmovie ???? https://t.co/3HFD9WN3Rb",FALSE,0,NA,2016-07-05 08:38:46,FALSE,NA,"750247535546105856",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","forestcyclist",0,FALSE,FALSE,NA,NA
"7","@Delta thanks for the note! https://t.co/JDpbYqED34",FALSE,0,"Delta",2016-07-05 08:36:37,FALSE,NA,"750246996729094144","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nathanielbarney",0,FALSE,FALSE,NA,NA
"8","RT @IBBranch: This 5 year long flight plan was off by a second. @Delta delayed my flight from KC to FLA by 6 hours #GetItTogether https://t…",FALSE,0,NA,2016-07-05 08:31:29,FALSE,NA,"750245706112335873",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","myflightcomp",1,TRUE,FALSE,NA,NA
"9","This 5 year long flight plan was off by a second. @Delta delayed my flight from KC to FLA by 6 hours #GetItTogether https://t.co/R85AxoLcbP",FALSE,0,NA,2016-07-05 08:30:29,FALSE,NA,"750245452784607233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IBBranch",1,FALSE,FALSE,NA,NA
"10","RT @KirillWasHere: Hey @Delta instead of spending $$$ on a new safety video every 6 months, how about putting power ports at every seat?",FALSE,0,NA,2016-07-05 08:25:02,FALSE,NA,"750244079619809280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LaurenOlivia20",27,TRUE,FALSE,NA,NA
"11","@Delta @airfrance Never expected such mistreatment from Skyteam for a platinum member... #learncustomerservice",FALSE,0,"Delta",2016-07-05 08:18:51,FALSE,NA,"750242523541409793","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dubeysaurabh",0,FALSE,FALSE,NA,NA
"12","@Delta one more fail... again the bassinet row has grown ups and families with infants sitting in middle rows.",FALSE,0,"Delta",2016-07-05 08:17:01,FALSE,NA,"750242064667807744","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dubeysaurabh",0,FALSE,FALSE,NA,NA
"13","@Delta it's 1am. Its alright, thanks for your follow up anyway. Have a nice night or morning, wherever you are:)",FALSE,0,"Delta",2016-07-05 08:11:14,FALSE,"750240203827064832","750240606505480193","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yeeisabelle",0,FALSE,FALSE,NA,NA
